kind,trade_id,symbol,exec_date,exec_price,shares,buy_date,buy_price,buy_fee,sell_fee,gross_pnl,net_pnl,net_return_pct,hold_days,exit_reason,sig_buy_sig_date,sig_buy_sig_w_close,sig_buy_mtf_score,sig_buy_emasma_score,sig_buy_early_score,sig_buy_near_score,sig_buy_gap_w,sig_buy_atr_dist,sig_buy_freshness_days,sig_sell_sig_date,sig_sell_sig_w_close,sig_sell_mtf_score,sig_sell_emasma_score,sig_sell_early_score,sig_sell_near_score,sig_sell_gap_w,sig_sell_atr_dist,sig_sell_freshness_days
SELL,251,SPY,2025-03-04,569.93,50.31,2024-12-10,593.16,14.92,14.34,-1168.65,-1182.98,-3.96,55,rotation (out of top-N),2024-12-09,592.02,0.7,1.99,1.5,4.8,9.95,0.35,686,2025-03-03,566.2,0.9,0.11,2.0,5.0,0.56,1.35,770
SELL,252,XLK,2025-01-14,113.48,247.66,2024-12-17,118.64,14.69,14.05,-1277.95,-1292.0,-4.4,17,rotation (out of top-N),2024-12-16,116.77,1.0,1.47,1.6,4.7,7.35,0.88,686,2025-01-13,116.05,1.3,1.07,1.7,4.4,5.36,1.57,714
SELL,253,XLI,2025-02-04,134.54,213.95,2025-01-14,131.3,14.05,14.39,693.2,678.81,2.42,14,rotation (out of top-N),2025-01-13,135.17,1.0,1.32,1.7,4.7,6.59,0.98,427,2025-02-03,134.76,1.1,1.03,1.7,4.6,5.14,1.34,448
SELL,254,DIA,2025-03-11,409.62,66.95,2025-01-28,437.09,14.63,13.71,-1839.25,-1852.96,-6.33,29,rotation (out of top-N),2025-01-27,435.32,0.7,1.56,1.6,4.9,7.79,0.5,798,2025-03-10,406.58,0.9,-0.21,2.1,5.2,-1.03,1.36,840
SELL,255,VGT,2025-02-25,76.21,380.51,2025-02-04,75.61,14.39,14.5,228.31,213.81,0.74,14,rotation (out of top-N),2025-02-03,77.11,1.3,1.13,1.7,4.4,5.66,1.55,735,2025-02-24,74.31,0.8,0.13,2.0,5.1,0.64,1.19,756
SELL,256,SCHD,2025-04-01,26.69,1105.91,2025-02-25,26.84,14.84,14.76,-165.89,-180.64,-0.61,25,rotation (out of top-N),2025-02-24,27.02,0.5,0.89,1.8,5.2,4.44,0.48,448,2025-03-31,24.15,0.2,-1.52,2.4,6.2,-7.58,0.81,483
SELL,257,VTV,2025-04-01,167.81,173.27,2025-02-25,171.31,14.84,14.54,-606.44,-620.98,-2.09,25,rotation (out of top-N),2025-02-24,172.53,0.6,0.96,1.8,5.2,4.82,0.53,462,2025-03-31,152.89,0.1,-1.58,2.4,6.3,-7.88,0.75,497
SELL,258,XLU,2025-06-17,39.08,779.28,2025-02-25,38.09,14.84,15.23,771.48,756.26,2.55,78,rotation (out of top-N),2025-02-24,38.0,0.9,0.92,1.8,4.9,4.58,0.97,350,2025-06-16,39.02,0.7,0.56,1.9,5.1,2.79,0.87,462
SELL,259,XLP,2025-03-18,77.49,373.41,2025-02-25,79.49,14.84,14.47,-746.83,-761.29,-2.56,15,rotation (out of top-N),2025-02-24,79.86,2.4,0.92,4.5,6.9,4.62,0.67,14,2025-03-17,76.26,1.9,-0.11,4.4,7.0,-0.55,0.75,35
SELL,260,XLRE,2025-03-18,40.15,732.72,2025-02-25,40.51,14.84,14.71,-263.78,-278.49,-0.94,15,rotation (out of top-N),2025-02-24,41.08,0.8,0.83,1.8,5.0,4.15,0.85,441,2025-03-17,39.51,0.6,-0.13,2.0,5.4,-0.67,1.02,462
