date,equity,positions
2021-01-20,159804.87,3
2021-01-21,159662.34,3
2021-01-22,159793.26,3
2021-01-25,160114.45,3
2021-01-26,158715.51,3
2021-01-27,154913.85,3
2021-01-28,154841.48,3
2021-01-29,152311.18,3
2021-02-01,156516.37,3
2021-02-02,158103.25,3
2021-02-03,157407.58,3
2021-02-04,160012.37,3
2021-02-05,160934.84,3
2021-02-08,165588.63,3
2021-02-09,166093.66,3
2021-02-10,165678.63,3
2021-02-11,167869.21,3
2021-02-12,168732.19,3
2021-02-16,168644.27,3
2021-02-17,166769.74,3
2021-02-18,164515.28,3
2021-02-19,167739.91,3
2021-02-22,165525.94,3
2021-02-23,163776.67,3
2021-02-24,168532.1,3
2021-02-25,163684.36,3
2021-02-26,161811.72,3
2021-03-01,166977.21,3
2021-03-02,165451.6,3
2021-03-03,166789.89,3
2021-03-04,166585.52,3
2021-03-05,171049.6,3
2021-03-08,172896.75,3
2021-03-09,172101.07,3
2021-03-10,175750.48,3
2021-03-11,177770.84,3
2021-03-12,178822.21,3
2021-03-15,178173.58,3
2021-03-16,174537.1,3
2021-03-17,175814.24,3
2021-03-18,170032.97,3
2021-03-19,170466.76,3
2021-03-22,168810.06,3
2021-03-23,165015.92,3
2021-03-24,165856.82,3
2021-03-25,168290.84,3
2021-03-26,171974.81,3
2021-03-29,169366.83,3
2021-03-30,169912.19,3
2021-03-31,171331.25,3
2021-04-01,175859.25,3
2021-04-05,175668.82,3
2021-04-06,174718.47,3
2021-04-07,175047.93,3
2021-04-08,175184.24,3
2021-04-09,175136.45,3
2021-04-12,174228.58,3
2021-04-13,173854.52,3
2021-04-14,176439.55,3
2021-04-15,176108.75,3
2021-04-16,176226.4,3
2021-04-19,175388.75,3
2021-04-20,172054.89,3
2021-04-21,175180.39,3
2021-04-22,173923.29,3
2021-04-23,177074.8,3
2021-04-26,177811.58,3
2021-04-27,179087.1,3
2021-04-28,181473.58,3
2021-04-29,183217.13,3
2021-04-30,180277.71,3
2021-05-03,182906.3,3
2021-05-04,183131.62,3
2021-05-05,185586.35,3
2021-05-06,187207.54,3
2021-05-07,189164.97,3
2021-05-10,187851.92,3
2021-05-11,184559.68,3
2021-05-12,182712.2,3
2021-05-13,183810.02,3
2021-05-14,187437.21,3
2021-05-17,189570.6,3
2021-05-18,186526.67,3
2021-05-19,183503.35,3
2021-05-20,183748.11,3
2021-05-21,184517.55,3
2021-05-24,185884.41,3
2021-05-25,183148.45,3
2021-05-26,185156.48,3
2021-05-27,186521.78,3
2021-05-28,186563.08,3
2021-06-01,190465.03,3
2021-06-02,191574.1,3
2021-06-03,191402.71,3
2021-06-04,192205.69,3
2021-06-07,192111.17,3
2021-06-08,192843.39,3
2021-06-09,191911.18,3
2021-06-10,191758.44,3
2021-06-11,191515.6,3
2021-06-14,190929.47,3
2021-06-15,191725.14,3
2021-06-16,190755.31,3
2021-06-17,186894.36,3
2021-06-18,182553.11,3
2021-06-21,187822.01,3
2021-06-22,188071.87,3
2021-06-23,188191.01,3
2021-06-24,189210.46,3
2021-06-25,190720.85,3
2021-06-28,188027.34,3
2021-06-29,187440.33,3
2021-06-30,187988.7,3
2021-07-01,189912.38,3
2021-07-02,189975.24,3
2021-07-06,187385.29,3
2021-07-07,186772.53,3
2021-07-08,185134.25,3
2021-07-09,189002.72,3
2021-07-12,190062.3,3
2021-07-13,188900.19,3
2021-07-14,189877.29,3
2021-07-15,189023.72,3
2021-07-16,188081.63,3
2021-07-19,185290.39,3
2021-07-20,188042.99,3
2021-07-21,188938.21,3
2021-07-22,189152.8,3
2021-07-23,191898.52,3
2021-07-26,192191.62,3
2021-07-27,191405.07,3
2021-07-28,190994.31,3
2021-07-29,191404.16,3
2021-07-30,191496.19,3
2021-08-02,191145.8,3
2021-08-03,192391.14,3
2021-08-04,191777.88,3
2021-08-05,193469.4,3
2021-08-06,194599.82,3
2021-08-09,194282.26,3
2021-08-10,193804.15,3
2021-08-11,194929.02,3
2021-08-12,195625.17,3
2021-08-13,195908.95,3
2021-08-16,196113.56,3
2021-08-17,196167.8,3
2021-08-18,193595.55,3
2021-08-19,195054.8,3
2021-08-20,196542.22,3
2021-08-23,197145.74,3
2021-08-24,196824.64,3
2021-08-25,197505.01,3
2021-08-26,196819.91,3
2021-08-27,198850.54,3
2021-08-30,199394.75,3
2021-08-31,199210.82,3
2021-09-01,200562.91,3
2021-09-02,200785.03,3
2021-09-03,201292.51,3
2021-09-07,200615.65,3
2021-09-08,200597.67,3
2021-09-09,198691.43,3
2021-09-10,196657.08,3
2021-09-13,196898.91,3
2021-09-14,196464.37,3
2021-09-15,197663.37,3
2021-09-16,197934.18,3
2021-09-17,195829.93,3
