kind,trade_id,symbol,exec_date,exec_price,shares,buy_date,buy_price,buy_fee,sell_fee,gross_pnl,net_pnl,net_return_pct,hold_days,exit_reason,sig_sig_date,sig_sig_w_close,sig_sig_w_ema,sig_sig_w_sma,sig_sig_d_close,sig_sig_d_ema,sig_sig_d_sma,sig_sig_h_close,sig_sig_h_atr,sig_gap_w,sig_atr_dist,sig_freshness_days,sig_emasma_score,sig_mtf_score,sig_early_score,sig_near_score
BUY,172,EFA,2025-08-19,89.27,2677.14,,,119.49,,,,,,,2025-08-18,90.14,86.8,79.68,89.04,87.9,86.41,89.06,88.79,13.12,0.3,189,2.62,0.9,1.3,4.5
SELL,169,VGT,2025-08-19,87.36,2747.17,2025-07-01,82.24,112.96,120.0,14065.49,13945.5,6.17,34,rotation (out of top-N),2025-08-18,86.39,83.82,76.69,87.37,86.97,84.65,87.39,86.97,12.65,0.49,63,2.53,1.9,2.3,5.4
SELL,170,XLK,2025-08-19,132.39,1799.5,2025-07-01,125.55,112.96,119.12,12308.57,12189.45,5.4,34,rotation (out of top-N),2025-08-18,130.53,127.36,115.88,132.44,132.04,128.87,132.44,131.48,12.64,0.73,70,2.53,2.0,2.2,5.1
BUY,173,VGT,2025-08-26,86.24,2766.04,,,119.27,,,,,,,2025-08-25,86.75,84.35,76.93,86.18,86.2,85.26,86.22,85.59,12.76,0.73,70,2.55,2.0,2.2,5.1
BUY,174,XLK,2025-08-26,130.34,1830.16,,,119.27,,,,,,,2025-08-25,130.54,127.94,116.25,130.23,130.66,129.66,130.24,129.11,12.29,0.87,77,2.46,1.9,2.1,4.9
SELL,171,EEM,2025-08-26,49.32,4863.41,2025-08-19,49.14,119.49,119.93,875.41,755.48,0.32,5,rotation (out of top-N),2025-08-25,48.9,48.02,43.97,49.37,49.02,48.23,49.4,49.25,11.21,0.3,119,2.24,0.8,1.5,4.7
SELL,172,EFA,2025-08-26,88.7,2677.14,2025-08-19,89.27,119.49,118.73,-1525.97,-1644.7,-0.69,5,rotation (out of top-N),2025-08-25,88.45,87.1,80.08,88.95,88.78,86.92,88.95,88.62,10.46,0.37,196,2.09,0.8,1.5,4.7
BUY,175,EEM,2025-09-09,50.13,4819.77,,,120.81,,,,,,,2025-09-08,51.26,48.82,44.41,49.93,49.23,48.61,49.95,49.75,15.43,0.4,133,3.09,1.0,1.2,4.2
SELL,174,XLK,2025-09-09,132.02,1830.16,2025-08-26,130.34,119.27,120.81,3074.67,2953.87,1.24,9,rotation (out of top-N),2025-09-08,134.73,129.59,117.02,131.72,130.82,130.54,131.71,130.4,15.13,0.99,91,3.03,1.9,1.7,4.3
BUY,176,XLK,2025-09-16,136.26,1833.44,,,124.91,,,,,,,2025-09-15,138.73,131.25,117.53,135.95,133.27,131.25,135.94,135.19,18.04,0.55,98,3.61,1.6,1.5,4.2
SELL,175,EEM,2025-09-16,51.86,4819.77,2025-09-09,50.13,120.81,124.98,8338.21,8213.23,3.4,5,rotation (out of top-N),2025-09-15,51.99,49.4,44.66,51.63,50.43,49.0,51.63,51.46,16.42,0.34,140,3.28,1.0,1.2,4.1
BUY,177,XLV,2025-11-18,149.83,1695.35,,,127.01,,,,,,,2025-11-17,152.65,143.9,136.51,149.78,147.75,142.37,149.83,148.31,11.82,1.01,49,2.36,2.4,3.6,5.3
SELL,173,VGT,2025-11-18,91.88,2766.04,2025-08-26,86.24,119.27,127.07,15600.48,15473.41,6.49,59,rotation (out of top-N),2025-11-17,89.57,92.64,81.31,92.66,95.18,94.99,92.59,91.11,10.16,1.59,154,2.03,1.6,1.5,3.9
BUY,178,VGT,2025-11-25,90.95,2865.44,,,130.31,,,,,,,2025-11-24,93.72,92.83,81.72,91.82,92.36,94.8,91.82,90.43,14.69,1.52,161,2.94,1.7,1.3,3.5
SELL,177,XLV,2025-11-25,153.8,1695.35,2025-11-18,149.83,127.01,130.37,6730.55,6600.18,2.6,5,rotation (out of top-N),2025-11-24,155.65,146.04,136.84,153.29,150.2,144.52,153.27,151.49,13.75,1.16,56,2.75,2.5,3.4,4.9
BUY,179,IWM,2025-12-09,248.38,1110.5,,,137.91,,,,,,,2025-12-08,251.95,242.97,220.05,248.99,245.4,242.21,248.78,246.91,14.5,0.75,140,2.9,1.2,1.3,4.1
SELL,178,VGT,2025-12-09,96.31,2865.44,2025-11-25,90.95,130.31,137.99,15358.75,15220.77,5.84,9,rotation (out of top-N),2025-12-08,93.94,93.46,82.81,96.52,94.58,94.85,96.66,95.97,13.44,0.71,175,2.69,1.1,1.3,4.2
BUY,180,VGT,2025-12-16,92.57,2989.17,,,138.35,,,,,,,2025-12-15,94.23,93.6,83.42,92.89,94.86,95.08,92.92,91.74,12.96,1.27,182,2.59,1.5,1.4,3.9
SELL,179,IWM,2025-12-16,249.3,1110.5,2025-12-09,248.38,137.91,138.42,1021.66,883.23,0.32,5,rotation (out of top-N),2025-12-15,249.75,244.2,221.3,250.05,249.58,243.17,249.96,247.63,12.86,0.93,147,2.57,1.3,1.4,4.1
BUY,181,EEM,2025-12-30,54.59,5208.53,,,142.17,,,,,,,2025-12-29,55.95,53.76,48.92,54.38,53.83,53.51,54.41,54.23,14.36,0.33,245,2.87,0.9,1.3,4.3
SELL,180,VGT,2025-12-30,95.17,2989.17,2025-12-16,92.57,138.35,142.24,7771.85,7629.61,2.76,9,rotation (out of top-N),2025-12-29,94.29,94.03,84.73,95.17,94.77,94.5,95.19,94.76,11.28,0.46,196,2.26,0.9,1.4,4.6
BUY,182,IWM,2026-01-06,251.19,1056.84,,,132.73,,,,,,,2026-01-05,259.15,248.2,225.78,251.68,249.05,244.66,251.45,249.52,14.78,0.77,168,2.96,1.3,1.3,4.0
SELL,176,XLK,2026-01-06,144.86,1833.44,2025-09-16,136.26,124.91,132.8,15767.57,15634.77,6.26,77,rotation (out of top-N),2026-01-05,145.8,143.68,130.08,144.27,144.41,143.39,144.28,142.86,12.08,0.99,210,2.42,1.3,1.4,4.1
BUY,183,XLE,2026-01-27,48.72,5701.2,,,138.88,,,,,,,2026-01-26,50.36,46.4,43.05,48.55,47.46,45.16,48.54,47.97,16.97,1.18,154,3.39,1.6,1.2,3.5
SELL,182,IWM,2026-01-27,262.96,1056.84,2026-01-06,251.19,132.73,138.95,12439.05,12300.09,4.63,14,rotation (out of top-N),2026-01-26,258.57,254.4,231.52,262.89,262.69,253.37,262.95,260.92,11.68,0.77,189,2.34,1.1,1.4,4.3
