kind,trade_id,symbol,exec_date,exec_price,shares,buy_date,buy_price,buy_fee,sell_fee,gross_pnl,net_pnl,net_return_pct,hold_days,exit_reason,sig_sig_date,sig_sig_w_close,sig_sig_w_ema,sig_sig_w_sma,sig_sig_d_close,sig_sig_d_ema,sig_sig_d_sma,sig_sig_h_close,sig_sig_h_atr,sig_gap_w,sig_atr_dist,sig_freshness_days,sig_emasma_score,sig_mtf_score,sig_early_score,sig_near_score
BUY,304,MAN,2026-07-21,53.5,39247.57,,,1049.87,,,,,,,2026-07-20,51.34,39.95,31.02,53.12,44.65,35.36,53.12,50.99,65.52,4.0,42,5,7.0,1.3,1.6
SELL,303,PENG,2026-07-21,55.63,37702.09,2026-07-14,79.12,1491.49,1048.68,-885622.12,-886670.8,-29.72,5,rotation (out of top-N),2026-07-20,53.79,57.97,32.31,53.18,66.99,64.94,53.18,48.63,66.5,8.55,91,5,6.5,-0.5,0.5
BUY,305,SAFT,2026-07-28,103.16,23755.76,,,1225.32,,,,,,,2026-07-27,103.25,83.51,75.25,103.43,83.62,74.44,103.03,98.22,37.22,4.66,28,5,6.4,2.7,1.5
BUY,306,TWST,2026-07-28,85.96,28509.13,,,1225.32,,,,,,,2026-07-27,92.69,85.37,53.87,89.81,91.82,86.25,86.38,81.53,72.06,5.62,203,5,6,-1,0.0
SELL,304,MAN,2026-07-28,54.59,39247.57,2026-07-21,53.5,1049.87,1071.26,42779.85,41708.59,1.99,5,rotation (out of top-N),2026-07-27,52.6,42.25,31.54,52.67,49.02,38.21,53.63,52.33,66.75,2.43,49,5,5.8,1.2,2.6
SELL,299,SEZL,2026-07-28,154.02,17936.75,2026-07-07,180.5,1618.79,1381.31,-474965.19,-476346.5,-14.71,15,rotation (out of top-N),2026-07-27,158.6,151.17,91.75,153.56,166.5,154.97,156.78,153.18,72.86,2.29,84,5,5.1,-0.4,2.1
BUY,307,BAX,2026-08-04,27.82,179102.0,,,2490.86,,,,,,,2026-08-03,28.11,22.43,19.52,27.65,24.87,22.0,28.11,26.9,44.04,4.31,35,5,6.5,2.2,1.5
BUY,310,CORT,2026-08-04,113.45,43909.23,,,2490.86,,,,,,,2026-08-03,112.8,88.93,62.3,109.19,101.44,88.93,112.8,105.62,81.07,6.36,56,5,7.1,1.1,1.1
BUY,308,SNOW,2026-08-04,307.01,16226.58,,,2490.86,,,,,,,2026-08-03,330.4,262.14,209.24,310.53,285.26,257.62,307.54,296.49,57.9,3.59,42,5,6.6,1.4,1.9
BUY,309,TNET,2026-08-04,69.05,72146.59,,,2490.86,,,,,,,2026-08-03,70.48,57.25,49.8,69.42,66.1,54.7,70.48,66.92,41.52,5.05,21,5,6.7,2.6,1.6
SELL,302,AGL,2026-08-04,92.27,26001.22,2026-07-14,114.72,1491.49,1199.57,-583857.29,-585056.86,-19.61,15,rotation (out of top-N),2026-08-03,94.03,98.88,46.51,92.79,99.98,109.37,94.03,89.83,102.19,4.47,91,5,6.5,-0.5,0.5
SELL,298,FBRX,2026-08-04,76.71,157316.99,2026-07-07,20.58,1618.79,6033.89,8830202.86,8824168.97,272.55,20,rotation (out of top-N),2026-08-03,76.6,48.2,28.96,76.7,68.32,36.22,76.6,76.43,164.49,0.23,28,5,4.7,1.5,4.4
SELL,305,SAFT,2026-08-04,103.22,23755.76,2026-07-28,103.16,1225.32,1226.04,1425.35,199.31,0.01,5,rotation (out of top-N),2026-08-03,103.19,87.09,76.16,103.46,96.04,78.73,103.19,103.02,35.48,0.17,35,5,3.3,2.6,4.3
SELL,306,TWST,2026-08-04,106.12,28509.13,2026-07-28,85.96,1225.32,1512.69,574744.02,573231.33,23.39,5,rotation (out of top-N),2026-08-03,100.85,88.19,55.57,96.48,91.5,88.78,100.85,96.0,81.47,4.8,210,5,6,-1,0.0
BUY,312,CSW,2026-08-05,351.52,14422.4,,,2534.88,,,,,,,2026-08-04,350.18,303.72,287.79,347.04,312.57,284.81,349.02,332.88,21.68,4.62,1,4.34,6.1,3.9,2.8
BUY,311,HPE,2026-08-05,52.27,96991.83,,,2534.88,,,,,,,2026-08-04,53.01,46.71,31.19,51.14,47.91,46.83,52.4,50.06,69.95,4.45,127,5,6.0,-1,0.0
SELL,308,SNOW,2026-08-05,318.05,16226.58,2026-08-04,307.01,2490.86,2580.43,179141.44,176561.01,3.54,1,rotation (out of top-N),2026-08-04,330.4,262.14,209.24,313.76,290.44,259.51,316.62,306.87,57.9,3.08,43,5,6.2,1.4,2.2
SELL,309,TNET,2026-08-05,69.01,72146.59,2026-08-04,69.05,2490.86,2489.42,-2885.86,-5375.28,-0.11,1,rotation (out of top-N),2026-08-04,70.48,57.25,49.8,69.8,66.77,55.3,69.56,66.93,41.52,3.78,22,5,6.2,2.6,2.1
BUY,313,BXC,2026-08-06,74.15,66564.72,,,2467.89,,,,,,,2026-08-05,69.21,61.0,60.26,69.69,59.8,57.34,73.05,69.44,14.85,4.94,0,2.97,5.7,4.3,3.5
BUY,314,CBRL,2026-08-06,57.87,85290.73,,,2467.89,,,,,,,2026-08-05,58.09,52.29,35.99,58.0,55.97,50.69,58.75,57.29,61.37,2.48,58,5,5.7,1.0,2.4
BUY,315,HNGE,2026-08-06,79.24,62288.92,,,2467.89,,,,,,,2026-08-05,84.11,76.98,54.66,84.71,79.25,78.24,80.73,76.58,53.88,5.14,79,5,6.4,-0.0,0.7
