kind,trade_id,symbol,exec_date,exec_price,shares,buy_date,buy_price,buy_fee,sell_fee,gross_pnl,net_pnl,net_return_pct,hold_days,exit_reason,sig_buy_sig_date,sig_buy_sig_w_close,sig_buy_mtf_score,sig_buy_emasma_score,sig_buy_early_score,sig_buy_near_score,sig_buy_gap_w,sig_buy_atr_dist,sig_buy_freshness_days,sig_sell_sig_date,sig_sell_sig_w_close,sig_sell_mtf_score,sig_sell_emasma_score,sig_sell_early_score,sig_sell_near_score,sig_sell_gap_w,sig_sell_atr_dist,sig_sell_freshness_days
SELL,53,HOOD,2024-06-11,22.84,4218.54,2024-05-21,21.02,44.33,48.18,7698.84,7650.66,8.63,14,rotation (out of top-N),2024-05-20,20.52,5.8,5,-0.8,0.0,56.67,4.95,161,2024-06-10,22.41,5.4,5,-1,0.6,61.0,3.63,182
SELL,54,FSLR,2024-06-25,259.24,447.02,2024-05-21,198.32,44.33,57.94,27232.35,27174.4,30.65,23,rotation (out of top-N),2024-05-20,276.86,5.6,5,1.4,3.3,67.3,1.73,35,2024-06-24,225.4,4.2,5,1.4,2.1,28.2,2.91,70
SELL,55,CVNA,2024-09-10,26.89,4761.92,2024-06-11,21.18,50.43,64.02,27190.58,27126.56,26.9,62,rotation (out of top-N),2024-06-10,20.6,6,5,-1,0.0,62.67,4.82,371,2024-09-09,28.36,4.5,5,-0.4,0.9,47.38,3.18,462
SELL,56,VST,2024-06-18,82.83,1160.35,2024-06-11,86.92,50.43,48.06,-4745.83,-4793.88,-4.75,5,rotation (out of top-N),2024-06-10,86.43,5.5,5,-1,0.5,64.59,3.81,455,2024-06-17,85.96,5.1,5,-1.0,0.9,59.59,3.21,462
SELL,57,SMCI,2024-06-25,84.48,1073.93,2024-06-18,89.5,48.06,45.36,-5391.11,-5436.48,-5.66,4,rotation (out of top-N),2024-06-17,90.49,5.6,5,-0.6,0.0,52.27,4.72,791,2024-06-24,81.7,4.7,5,0.3,0.0,34.19,5.06,798
SELL,58,NVDA,2024-07-09,130.34,852.12,2024-06-25,121.14,51.61,55.53,7839.51,7783.98,7.54,9,rotation (out of top-N),2024-06-24,123.37,5.4,5,-1,0.6,68.24,3.67,525,2024-07-08,129.44,4.6,5,-1,1.4,67.06,2.43,539
SELL,59,HOOD,2024-07-02,22.48,4803.44,2024-06-25,21.49,51.61,53.98,4731.39,4677.41,4.53,5,rotation (out of top-N),2024-06-24,22.7,5.1,5,-0.8,0.7,56.14,3.48,196,2024-07-01,22.65,4.5,5,-0.6,1.1,52.43,2.85,203
SELL,60,SMCI,2024-07-16,90.0,1345.2,2024-07-02,80.25,53.98,60.53,13115.74,13055.2,12.09,9,rotation (out of top-N),2024-07-01,84.74,4.8,5,0.2,0.0,35.99,5.17,805,2024-07-15,79.62,3.7,4.44,0.9,1.2,22.22,3.92,819
SELL,61,TSLA,2024-07-30,232.31,442.09,2024-07-09,251.1,55.5,51.35,-8306.84,-8358.19,-7.53,15,rotation (out of top-N),2024-07-08,248.32,5.1,4.53,3.9,3.7,22.67,3.01,0,2024-07-29,207.68,3.6,0.53,4.5,5.6,2.64,2.68,21
SELL,62,HOOD,2024-07-23,23.25,5026.08,2024-07-16,24.07,60.5,58.43,-4146.51,-4204.94,-3.48,5,rotation (out of top-N),2024-07-15,23.41,4.7,5,-0.5,0.8,50.79,3.23,217,2024-07-22,21.19,3.8,5,0.3,0.9,33.89,3.15,224
SELL,63,COIN,2024-07-30,234.72,444.11,2024-07-23,263.0,58.4,52.12,-12559.33,-12611.45,-10.8,5,rotation (out of top-N),2024-07-22,243.0,3.9,5,0.5,0.6,29.13,3.68,497,2024-07-29,204.47,3.3,1.35,1.7,2.3,6.76,5.14,504
SELL,64,MMM,2024-08-06,118.68,852.76,2024-07-30,121.25,51.7,50.6,-2191.59,-2242.19,-2.17,5,rotation (out of top-N),2024-07-29,120.42,5.0,5,-0.0,0.0,40.65,4.97,140,2024-08-05,119.37,3.5,5,0.1,1.3,37.42,2.51,147
SELL,65,RVTY,2024-08-06,119.64,831.7,2024-07-30,124.32,51.7,49.75,-3892.35,-3942.1,-3.81,5,rotation (out of top-N),2024-07-29,122.68,3.7,3.67,1.8,2.9,18.37,3.03,77,2024-08-05,118.4,3.1,2.68,1.9,3.4,13.4,2.73,84
SELL,66,PLTR,2024-08-27,30.5,3711.61,2024-08-06,27.02,50.15,56.6,12897.84,12841.24,12.8,15,rotation (out of top-N),2024-08-05,30.02,4.8,5,0.2,0.0,35.62,8.15,483,2024-08-26,31.48,3.4,5,0.2,1.5,36.68,2.29,504
