date,equity,positions
2021-07-02,155480.51,3
2021-07-06,155611.14,3
2021-07-07,153450.18,3
2021-07-08,152520.01,3
2021-07-09,151958.62,3
2021-07-12,154626.29,3
2021-07-13,153920.86,3
2021-07-14,153920.86,3
2021-07-15,154826.31,3
2021-07-16,154314.05,3
2021-07-19,153728.19,3
2021-07-20,153773.14,3
2021-07-21,153773.14,3
2021-07-22,154265.84,3
2021-07-23,154187.81,3
2021-07-26,156259.54,3
2021-07-27,156153.17,3
2021-07-28,156153.17,3
2021-07-29,155974.2,3
2021-07-30,155496.62,3
2021-08-02,155575.38,3
2021-08-03,156228.1,3
2021-08-04,156228.1,3
2021-08-05,155729.58,3
2021-08-06,157072.23,3
2021-08-09,157746.52,3
2021-08-10,156749.27,3
2021-08-11,156749.27,3
2021-08-12,157651.16,3
2021-08-13,158207.63,3
2021-08-16,158600.82,3
2021-08-17,158861.39,3
2021-08-18,158861.39,3
2021-08-19,156865.43,3
2021-08-20,158076.25,3
2021-08-23,159187.72,3
2021-08-24,159018.97,3
2021-08-25,159018.97,3
2021-08-26,159426.48,3
2021-08-27,159004.02,3
2021-08-30,160576.16,3
2021-08-31,161656.89,3
2021-09-01,161656.89,3
2021-09-02,163168.4,3
2021-09-03,163202.24,3
2021-09-07,163376.1,3
2021-09-08,162631.24,3
2021-09-09,162704.46,3
2021-09-10,160686.99,3
2021-09-13,159055.88,3
2021-09-14,159249.89,3
2021-09-15,159249.89,3
2021-09-16,160176.83,3
2021-09-17,160239.7,3
2021-09-20,158948.73,3
2021-09-21,157104.34,3
2021-09-22,157104.34,3
2021-09-23,158992.84,3
2021-09-24,160259.51,3
2021-09-27,159675.64,3
2021-09-28,156669.04,3
2021-09-29,156669.04,3
2021-09-30,157173.05,3
2021-10-01,154719.89,3
2021-10-04,157544.93,3
2021-10-05,160019.48,3
2021-10-06,160019.48,3
2021-10-07,160096.17,3
2021-10-08,161343.7,3
2021-10-11,162620.16,3
2021-10-12,162604.61,3
2021-10-13,162604.61,3
2021-10-14,162724.63,3
2021-10-15,165059.32,3
2021-10-18,166000.63,3
2021-10-19,167463.1,3
2021-10-20,167463.1,3
2021-10-21,169368.16,3
2021-10-22,168547.45,3
2021-10-25,170184.39,3
2021-10-26,170927.16,3
2021-10-27,170927.16,3
2021-10-28,169679.58,3
2021-10-29,171465.0,3
2021-11-01,171610.04,3
2021-11-02,173134.51,3
2021-11-03,173134.51,3
2021-11-04,174295.59,3
2021-11-05,176230.19,3
2021-11-08,177588.92,3
2021-11-09,176098.31,3
2021-11-10,176098.31,3
2021-11-11,173582.42,3
2021-11-12,173871.42,3
2021-11-15,174765.02,3
2021-11-16,176509.56,3
2021-11-17,176509.56,3
2021-11-18,177032.04,3
2021-11-19,178432.29,3
2021-11-22,178966.83,3
2021-11-23,177656.79,3
2021-11-24,177656.79,3
2021-11-26,178882.52,3
2021-11-29,174169.26,3
2021-11-30,174974.56,3
2021-12-01,174974.56,3
2021-12-02,172319.65,3
2021-12-03,175018.5,3
2021-12-06,172434.93,3
2021-12-07,178949.19,3
2021-12-08,178949.19,3
2021-12-09,179421.98,3
2021-12-10,177191.82,3
2021-12-13,179336.33,3
2021-12-14,172775.72,3
2021-12-15,172775.72,3
2021-12-16,176404.07,3
2021-12-17,175018.97,3
2021-12-20,173999.11,3
2021-12-21,175421.5,3
2021-12-22,175421.5,3
2021-12-23,177834.7,3
2021-12-27,178823.65,3
2021-12-28,181845.76,3
2021-12-29,181845.76,3
2021-12-30,182347.04,3
2021-12-31,181941.19,3
2022-01-03,181594.92,3
2022-01-04,186190.93,3
2022-01-05,186190.93,3
2022-01-06,185401.81,3
2022-01-07,187531.26,3
2022-01-10,189201.46,3
2022-01-11,190993.26,3
2022-01-12,190993.26,3
2022-01-13,191176.54,3
2022-01-14,190715.05,3
2022-01-18,191724.82,3
2022-01-19,189722.65,3
2022-01-20,188588.64,3
2022-01-21,187189.16,3
2022-01-24,184686.92,3
2022-01-25,186285.86,3
2022-01-26,186285.86,3
2022-01-27,185231.97,3
2022-01-28,186913.41,3
2022-01-31,188026.41,3
2022-02-01,192637.37,3
2022-02-02,192637.37,3
2022-02-03,194020.19,3
2022-02-04,192671.6,3
2022-02-07,194052.59,3
2022-02-08,194797.53,3
2022-02-09,194797.53,3
2022-02-10,195794.16,3
2022-02-11,194162.57,3
2022-02-14,195172.53,3
2022-02-15,192724.52,3
2022-02-16,192724.52,3
2022-02-17,193473.51,3
2022-02-18,192273.92,3
2022-02-22,191929.45,3
2022-02-23,190008.11,3
2022-02-24,189243.52,3
2022-02-25,186923.62,3
2022-02-28,192538.32,3
2022-03-01,192084.01,3
2022-03-02,192084.01,3
2022-03-03,195099.75,3
2022-03-04,196845.08,3
2022-03-07,200390.39,3
2022-03-08,199965.87,3
2022-03-09,199965.87,3
2022-03-10,197401.19,3
2022-03-11,199711.27,3
2022-03-14,198158.49,3
2022-03-15,195029.15,3
2022-03-16,195029.15,3
2022-03-17,195285.25,3
2022-03-18,199063.15,3
2022-03-21,198827.86,3
2022-03-22,201709.26,3
2022-03-23,201709.26,3
2022-03-24,202918.67,3
2022-03-25,204972.32,3
2022-03-28,208334.14,3
2022-03-29,206847.31,3
2022-03-30,206847.31,3
2022-03-31,208360.44,3
2022-04-01,207017.34,3
2022-04-04,209202.84,3
2022-04-05,207784.2,3
2022-04-06,207784.2,3
2022-04-07,210327.98,3
2022-04-08,211993.23,3
2022-04-11,214742.37,3
2022-04-12,212674.39,3
2022-04-13,212674.39,3
2022-04-14,214148.96,3
2022-04-18,214441.56,3
2022-04-19,215478.31,3
2022-04-20,215478.31,3
2022-04-21,217309.26,3
2022-04-22,213440.9,3
2022-04-25,209303.08,3
2022-04-26,204916.3,3
2022-04-27,204916.3,3
2022-04-28,206017.32,3
2022-04-29,210065.25,3
2022-05-02,204300.48,3
2022-05-03,206445.26,3
2022-05-04,206445.26,3
2022-05-05,212685.44,3
2022-05-06,209533.61,3
2022-05-09,212629.72,3
2022-05-10,204395.02,3
2022-05-11,204395.02,3
2022-05-12,205694.31,3
2022-05-13,205393.49,3
2022-05-16,209882.1,3
2022-05-17,213843.9,3
2022-05-18,213843.9,3
2022-05-19,206969.04,3
2022-05-20,205497.49,3
2022-05-23,206162.14,3
2022-05-24,211662.08,3
2022-05-25,211662.08,3
2022-05-26,213731.25,3
2022-05-27,215995.37,3
2022-05-31,220053.3,3
2022-06-01,216839.1,3
2022-06-02,217635.89,3
2022-06-03,219407.76,3
2022-06-06,219761.45,3
2022-06-07,224325.0,3
2022-06-08,224325.0,3
2022-06-09,222495.43,3
2022-06-10,217883.89,3
2022-06-13,215524.36,3
2022-06-14,205115.46,2
2022-06-15,205115.46,2
2022-06-16,203514.16,2
2022-06-17,197459.45,2
2022-06-21,192432.85,2
2022-06-22,197540.23,2
2022-06-23,194822.22,2
2022-06-24,193284.32,2
2022-06-27,195292.28,2
2022-06-28,199964.97,2
2022-06-29,199964.97,2
2022-06-30,197166.18,2
2022-07-01,196199.8,2
2022-07-05,198826.99,2
2022-07-06,193602.36,2
2022-07-07,192947.27,2
2022-07-08,195553.67,2
2022-07-11,195308.0,2
2022-07-12,193190.12,2
2022-07-13,193190.12,2
2022-07-14,192811.52,2
2022-07-15,191404.84,2
2022-07-18,192707.2,2
2022-07-19,196278.31,2
2022-07-20,196278.31,2
2022-07-21,196238.47,2
2022-07-22,195013.52,2
2022-07-25,195176.75,2
2022-07-26,198413.04,2
2022-07-27,198413.04,2
2022-07-28,200229.17,2
2022-07-29,202817.66,2
2022-08-01,206945.74,2
2022-08-02,204961.91,2
2022-08-03,204961.91,2
2022-08-04,202985.38,2
2022-08-05,200136.68,2
2022-08-08,201431.18,2
2022-08-09,204057.23,2
2022-08-10,204057.23,2
2022-08-11,204943.99,2
2022-08-12,207713.05,2
2022-08-15,209409.73,2
2022-08-16,208769.11,3
2022-08-17,208769.11,3
2022-08-18,209181.69,3
2022-08-19,211852.43,3
2022-08-22,211618.72,3
2022-08-23,212378.54,3
2022-08-24,212378.54,3
2022-08-25,213804.44,3
2022-08-26,215169.78,3
2022-08-29,211650.55,3
2022-08-30,209146.05,2
2022-08-31,209146.05,2
2022-09-01,207924.45,2
2022-09-02,206744.38,2
2022-09-06,207567.73,2
2022-09-07,206935.06,2
2022-09-08,207989.55,2
2022-09-09,208300.84,2
2022-09-12,210673.36,2
2022-09-13,208878.53,2
2022-09-14,208878.53,2
2022-09-15,211846.71,2
2022-09-16,207907.63,2
2022-09-19,205821.15,2
2022-09-20,205180.07,2
2022-09-21,205180.07,2
2022-09-22,203087.41,2
2022-09-23,202575.33,2
2022-09-26,196128.57,2
2022-09-27,192540.02,2
