MTF BACKTEST: Top 50 YTD Performers

=== SUMMARY ===
Metric,Value
Return,+3074.29%
Max DD,33.2%
Trades,"141 sells (0 stop-loss, 0 hourly-ema, 0 ratchet-atr, 0 daily-ema) / 151 buys"
Win,85 (60%)  avg ++45.15%
Loss,56 (40%)  avg -7.66%
Hold,8 days
Exposure,779/1231 days invested (63%) | 452 days 100% cash | avg 3.9 positions | 1082 days with <10 positions

=== TOP 50 YTD PERFORMERS ===
Rank,Ticker,Open Jan 2,Close Now,YTD %
1,AGL,7.92,96.74,1121.5%
2,SNDK,245.82,1641.28,567.7%
3,AEHR,21.36,134.07,527.8%
4,MXL,15.35,84.91,453.2%
5,FBRX,16.07,76.84,378.3%
6,AAOI,32.50,150.43,362.9%
7,SHAZ,16.97,76.50,350.8%
8,DELL,111.93,490.97,338.6%
9,ORKA,26.34,111.09,321.8%
10,BAND,12.82,53.97,321.0%
11,ATEX,21.79,91.40,319.5%
12,ELVN,15.00,58.83,292.2%
13,PENG,16.76,63.84,280.9%
14,TWST,31.56,118.49,275.4%
15,ICHR,19.49,71.06,264.6%
16,DD,40.12,146.24,264.5%
17,NBIS,78.61,277.67,253.2%
18,CORT,32.67,114.42,250.3%
19,SYRE,29.88,103.56,246.6%
20,STX,281.41,973.36,245.9%
21,MANE,32.63,112.65,245.2%
22,MU,295.08,971.98,229.4%
23,ALAB,100.81,321.64,219.1%
24,DNTH,36.51,115.64,216.7%
25,UCTT,26.95,84.96,215.3%
26,MRVL,72.91,222.13,204.7%
27,HPE,19.91,58.70,194.8%
28,CRDO,89.17,260.04,191.6%
29,WDC,177.26,510.03,187.7%
30,HNGE,30.90,88.57,186.6%
31,SIMO,93.92,269.05,186.5%
32,LITE,323.83,925.91,185.9%
33,TEAM,57.55,162.29,182.0%
34,AMBQ,23.24,64.64,178.1%
35,FROG,34.99,96.15,174.8%
36,AMD,189.23,514.40,171.8%
37,INTC,37.79,102.53,171.4%
38,PANW,142.73,384.24,169.2%
39,ARM,103.89,279.37,168.9%
40,TVTX,23.10,62.07,168.7%
41,SNOW,122.68,328.92,168.1%
42,PBF,26.87,71.84,167.4%
43,DOCN,48.70,129.93,166.8%
44,XMTR,36.95,96.36,160.8%
45,RVMD,78.42,203.70,159.8%
46,CRNX,32.65,84.70,159.4%
47,BE,90.35,229.85,154.4%
48,DDOG,101.12,255.37,152.5%
49,MBX,27.22,68.60,152.1%
50,COOK,23.89,59.74,150.1%

"=== ALL TRADES (292 total, 141 with return data) ==="
date,side,ticker,qty,price,return%,pnl$
2024-03-05,BUY,MU,554.21,93.37,+38.82%,"+20,090.05"
2024-03-12,SELL,DDOG,0.25,121.77,,
2024-03-19,SELL,STX,425.72,80.41,,
2024-03-19,BUY,HPE,2135.56,16.04,-0.50%,-170.84
2024-03-26,BUY,DD,0.56,30.45,-3.15%,-0.54
2024-04-02,SELL,AMD,119.47,179.30,,
2024-04-02,BUY,STX,247.57,86.44,-7.30%,"-1,562.18"
2024-04-16,SELL,STX,247.57,80.13,,
2024-04-16,BUY,DDOG,156.76,126.50,+0.04%,+8.62
2024-04-23,SELL,HPE,2135.56,15.96,,
2024-04-23,SELL,DDOG,156.76,126.55,,
2024-04-30,SELL,DD,0.56,29.49,,
2024-04-30,BUY,PANW,183.61,146.76,+1.36%,+367.22
2024-04-30,BUY,DDOG,210.00,128.32,-8.73%,"-2,351.96"
2024-05-07,BUY,DD,0.85,31.63,+0.92%,+0.25
2024-05-14,SELL,DDOG,210.00,117.12,,
2024-05-14,BUY,STX,273.31,89.90,+0.55%,+133.92
2024-05-21,BUY,HPE,0.73,16.84,+10.69%,+1.31
2024-06-04,BUY,AMD,0.00,162.73,-3.57%,-0.00
2024-06-25,BUY,LITE,0.00,47.77,-12.55%,-0.00
2024-07-02,SELL,DELL,193.73,135.91,,
2024-07-02,SELL,AMD,0.00,156.92,,
2024-07-02,BUY,DDOG,201.66,130.43,-9.58%,"-2,518.79"
2024-07-09,SELL,DD,0.85,31.92,,
2024-07-09,BUY,AMD,0.23,177.94,-12.99%,-5.24
2024-07-16,SELL,MU,554.21,129.62,,
2024-07-23,SELL,WDC,0.00,49.22,,
2024-07-23,SELL,AMD,0.23,154.82,,
2024-07-23,BUY,DD,2231.19,32.18,+0.12%,+89.25
2024-07-30,SELL,HPE,0.73,18.64,,
2024-07-30,SELL,DDOG,201.66,117.94,,
2024-08-06,SELL,PANW,183.61,148.76,,
2024-08-06,SELL,STX,273.31,90.39,,
2024-08-06,SELL,LITE,0.00,41.77,,
2024-08-20,SELL,DD,2231.19,32.22,,
2024-08-20,BUY,PANW,845.81,174.50,-0.79%,"-1,167.21"
2024-08-27,BUY,LITE,0.45,55.24,+54.03%,+13.29
2024-08-27,BUY,DD,0.75,32.88,+4.44%,+1.09
2024-08-27,BUY,STX,0.25,99.43,-2.51%,-0.62
2024-09-10,SELL,STX,0.25,96.93,,
2024-09-17,BUY,STX,0.08,98.84,-1.42%,-0.11
2024-09-17,BUY,WDC,0.18,43.79,+2.97%,+0.24
2024-09-17,BUY,DELL,0.07,114.50,+4.56%,+0.36
2024-09-24,BUY,HPE,0.00,18.20,+12.86%,+0.00
2024-10-08,SELL,PANW,845.81,173.12,,
2024-10-08,SELL,WDC,0.18,45.09,,
2024-10-15,BUY,PANW,783.42,186.73,+0.44%,+650.24
2024-10-29,BUY,DDOG,0.58,126.90,+9.78%,+7.16
2024-11-05,SELL,DD,0.75,34.34,,
2024-11-05,SELL,STX,0.08,97.44,,
2024-12-10,SELL,DELL,0.07,119.72,,
2024-12-24,SELL,PANW,783.42,187.56,,
2025-01-14,SELL,LITE,0.45,85.08,,
2025-01-14,SELL,DDOG,0.58,139.31,,
2025-01-28,BUY,LITE,1915.80,76.70,+5.13%,"+7,538.66"
2025-02-11,SELL,HPE,0.00,20.54,,
2025-02-11,SELL,LITE,1915.80,80.64,,
2025-02-11,BUY,PANW,779.51,198.09,-1.93%,"-2,981.62"
2025-05-20,SELL,PANW,779.51,194.26,,
2025-05-20,BUY,WDC,3004.23,50.38,+806.99%,"+1,221,400.03"
2025-06-03,BUY,PANW,0.19,195.07,+2.11%,+0.80
2025-06-03,BUY,STX,0.32,117.61,+222.17%,+84.06
2025-06-10,BUY,MU,0.00,111.46,+0.38%,+0.00
2025-06-17,BUY,LITE,0.00,84.71,+303.45%,+0.00
2025-07-01,BUY,DELL,0.00,120.27,-0.50%,-0.00
2025-07-01,BUY,AMD,0.00,138.82,+9.49%,+0.00
2025-07-08,BUY,DDOG,0.00,145.88,-11.59%,-0.00
2025-07-15,BUY,INTC,0.00,23.58,-12.28%,-0.00
2025-07-22,SELL,PANW,0.19,199.19,,
2025-07-22,BUY,HPE,1.90,20.29,+11.73%,+4.53
2025-07-29,SELL,MU,0.00,111.88,,
2025-07-29,SELL,INTC,0.00,20.68,,
2025-07-29,BUY,PANW,0.00,206.06,-17.07%,-0.01
2025-08-05,SELL,PANW,0.00,170.88,,
2025-08-12,SELL,DDOG,0.00,128.97,,
2025-08-19,BUY,MU,0.00,122.63,+161.32%,+0.04
2025-08-19,BUY,INTC,0.00,24.97,+37.24%,+0.01
2025-08-26,BUY,DD,0.00,31.52,+6.25%,+0.00
2025-09-09,SELL,DELL,0.00,119.67,,
2025-09-09,SELL,AMD,0.00,151.99,,
2025-09-09,BUY,PANW,0.00,197.69,+2.43%,+0.00
2025-09-16,BUY,DDOG,0.00,135.85,+18.20%,+0.00
2025-09-30,BUY,DELL,0.00,132.66,-9.60%,-0.00
2025-10-07,SELL,DD,0.00,33.49,,
2025-10-07,BUY,AMD,0.00,214.85,-6.23%,-0.00
2025-10-14,SELL,DDOG,0.00,160.57,,
2025-10-14,BUY,DD,0.00,30.91,+47.75%,+0.00
2025-10-21,SELL,HPE,1.90,22.67,,
2025-10-21,BUY,DDOG,0.28,156.28,+3.64%,+1.57
2025-11-18,SELL,INTC,0.00,34.27,,
2025-11-18,SELL,PANW,0.00,202.50,,
2025-11-18,SELL,DELL,0.00,119.93,,
2025-11-25,SELL,AMD,0.00,201.47,,
2025-12-02,SELL,DDOG,0.28,161.97,,
2025-12-09,BUY,INTC,1.10,40.76,-10.84%,-4.84
2025-12-16,BUY,HPE,0.00,23.69,-9.41%,-0.00
2025-12-23,SELL,INTC,1.10,36.34,,
2026-01-06,BUY,INTC,1.00,39.86,+8.78%,+3.49
2026-01-27,SELL,LITE,0.00,341.76,,
2026-01-27,SELL,HPE,0.00,21.46,,
2026-01-27,BUY,AMD,0.00,252.31,-16.12%,-0.01
2026-02-03,BUY,LITE,0.00,453.36,+115.25%,+0.00
2026-02-24,SELL,AMD,0.00,211.63,,
2026-03-03,SELL,INTC,1.00,43.36,,
2026-03-03,BUY,DELL,0.29,149.92,+43.42%,+18.79
2026-03-10,SELL,STX,0.32,378.90,,
2026-03-17,SELL,DD,0.00,45.67,,
2026-03-31,SELL,MU,0.00,320.46,,
2026-03-31,BUY,HPE,5.30,23.00,+26.83%,+32.69
2026-04-07,BUY,STX,0.00,449.75,+68.45%,+0.01
2026-04-07,BUY,AMD,0.00,219.40,+60.26%,+0.01
2026-04-07,BUY,INTC,0.00,51.84,+93.89%,+0.01
2026-04-07,BUY,SNDK,0.00,722.59,+106.48%,+0.02
2026-04-21,BUY,MU,0.00,452.31,+34.78%,+0.00
2026-04-21,BUY,DD,0.00,46.94,-1.13%,-0.00
2026-05-05,SELL,WDC,3004.23,456.94,,
2026-05-05,SELL,LITE,0.00,975.83,,
2026-05-05,SELL,DELL,0.29,215.02,,
2026-05-05,SELL,HPE,5.30,29.17,,
2026-05-05,SELL,STX,0.00,757.61,,
2026-05-05,SELL,AMD,0.00,351.60,,
2026-05-05,SELL,INTC,0.00,100.50,,
2026-05-05,SELL,MU,0.00,609.64,,
2026-05-05,SELL,DD,0.00,46.41,,
2026-05-05,BUY,XMTR,2821.96,54.01,+57.37%,"+87,438.28"
2026-05-05,BUY,DDOG,1031.02,147.81,+50.08%,"+76,326.15"
2026-05-05,BUY,AGL,5759.63,26.46,+248.72%,"+379,040.96"
2026-05-05,BUY,PENG,4580.69,33.27,+49.59%,"+75,581.45"
2026-05-05,BUY,AEHR,1737.74,87.70,-7.47%,"-11,382.19"
2026-05-05,BUY,BAND,3387.41,44.99,+34.62%,"+52,758.95"
2026-05-05,BUY,AAOI,860.58,177.09,+0.63%,+955.24
2026-05-05,BUY,ARM,724.44,210.37,+47.40%,"+72,240.80"
2026-05-05,BUY,ICHR,2598.02,58.66,+24.38%,"+37,151.65"
2026-05-12,SELL,SNDK,0.00,1492.00,,
2026-05-12,SELL,AAOI,860.58,178.20,,
2026-05-12,SELL,ICHR,2598.02,72.96,,
2026-05-12,BUY,DELL,472.91,241.94,+70.54%,"+80,714.32"
2026-05-12,BUY,FROG,1677.78,68.19,+0.43%,+494.95
2026-05-12,BUY,ALAB,565.16,202.45,+62.02%,"+70,955.70"
2026-05-19,SELL,AEHR,1737.74,81.15,,
2026-05-19,SELL,FROG,1677.78,68.49,,
2026-05-19,BUY,ATEX,2343.76,54.58,+21.11%,"+27,000.09"
2026-05-19,BUY,CRDO,849.47,150.59,+43.10%,"+55,139.37"
2026-06-02,SELL,XMTR,2821.96,84.99,,
2026-06-02,SELL,ATEX,2343.76,66.10,,
2026-06-02,SELL,CRDO,849.47,215.50,,
2026-06-02,BUY,HPE,3059.25,62.91,-20.95%,"-40,320.92"
2026-06-02,BUY,COOK,2708.76,71.05,-5.36%,"-10,320.38"
2026-06-02,BUY,FROG,2283.28,84.29,+0.88%,"+1,689.63"
2026-06-09,SELL,HPE,3059.25,49.73,,
2026-06-09,SELL,COOK,2708.76,67.24,,
2026-06-09,SELL,FROG,2283.28,85.03,,
2026-06-09,BUY,XMTR,2118.15,83.12,+3.93%,"+6,926.34"
2026-06-09,BUY,AEHR,1719.84,102.37,+10.41%,"+18,333.53"
2026-06-09,BUY,CRDO,777.69,226.39,+10.62%,"+18,703.35"
2026-06-16,SELL,DELL,472.91,412.62,,
2026-06-16,SELL,XMTR,2118.15,86.39,,
2026-06-16,SELL,AEHR,1719.84,113.03,,
2026-06-16,BUY,COOK,2660.54,71.69,-4.32%,"-8,247.68"
2026-06-16,BUY,HPE,3881.84,49.13,-10.59%,"-20,204.99"
2026-06-16,BUY,FROG,2367.17,80.58,+21.94%,"+41,839.65"
2026-06-23,SELL,DDOG,1031.02,221.84,,
2026-06-23,BUY,DELL,580.92,393.83,+1.79%,"+4,101.29"
2026-06-30,SELL,BAND,3387.41,60.56,,
2026-06-30,SELL,HPE,3881.84,43.93,,
2026-06-30,BUY,PANW,573.43,327.35,+1.44%,"+2,700.87"
2026-06-30,BUY,DDOG,761.51,246.50,+5.39%,"+10,120.53"
2026-07-07,SELL,FROG,2367.17,98.25,,
2026-07-07,SELL,DELL,580.92,400.89,,
2026-07-07,SELL,DDOG,761.51,259.79,,
2026-07-07,BUY,CRNX,2643.44,83.58,+0.13%,+290.78
2026-07-07,BUY,FBRX,10735.62,20.58,+272.74%,"+602,590.25"
2026-07-07,BUY,BAND,3566.98,61.94,+21.09%,"+46,602.65"
2026-07-14,SELL,ARM,724.44,310.09,,
2026-07-14,SELL,CRDO,777.69,250.44,,
2026-07-14,SELL,COOK,2660.54,68.59,,
2026-07-14,SELL,PANW,573.43,332.06,,
2026-07-14,SELL,CRNX,2643.44,83.69,,
2026-07-14,SELL,BAND,3566.98,75.00,,
2026-07-14,BUY,WDC,362.84,588.01,-9.87%,"-21,052.07"
2026-07-14,BUY,MXL,2244.89,95.04,-12.39%,"-26,444.83"
2026-07-14,BUY,HPE,4382.80,48.68,-5.18%,"-11,044.65"
2026-07-14,BUY,MBX,3809.90,56.00,+20.58%,"+43,909.13"
2026-07-14,BUY,SNDK,118.18,1805.27,-16.30%,"-34,778.68"
2026-07-14,BUY,ICHR,2199.53,97.00,-21.67%,"-46,234.15"
2026-07-21,SELL,ALAB,565.16,328.00,,
2026-07-21,SELL,WDC,362.84,529.99,,
2026-07-21,SELL,MXL,2244.89,83.26,,
2026-07-21,SELL,HPE,4382.80,46.16,,
