MTF BACKTEST: Portfolio by Ticker

TICKER SUMMARY (sorted by total P&L)
Ticker,Trades,Total P&L $,Avg Return %,First Buy,Last Sell,Days Held (approx)
2025-01-28,BUY,1915.80,76.70,+5.13%,"+7,538.66"
2025-02-11,SELL,1915.80,80.64,,
2025-06-17,BUY,0.00,84.71,+303.45%,+0.00
2026-01-27,SELL,0.00,341.76,,
2026-02-03,BUY,0.00,453.36,+115.25%,+0.00
2026-05-05,SELL,0.00,975.83,,

"=== AEHR (P&L: $+6,951.34) ==="
date,side,qty,price,return%,pnl$
2026-05-05,BUY,1737.74,87.70,-7.47%,"-11,382.19"
2026-05-19,SELL,1737.74,81.15,,
2026-06-09,BUY,1719.84,102.37,+10.41%,"+18,333.53"
2026-06-16,SELL,1719.84,113.03,,
2026-08-07,BUY,3027.03,102.35,,

"=== STX (P&L: $+5,471.84) ==="
date,side,qty,price,return%,pnl$
2023-07-11,BUY,251.83,56.70,-0.26%,-37.77
2023-07-18,SELL,251.83,56.55,,
2023-08-08,BUY,189.62,63.67,-5.64%,-680.73
2023-09-19,SELL,189.62,60.08,,
2023-10-10,BUY,425.72,62.71,+28.23%,"+7,535.26"
2024-03-19,SELL,425.72,80.41,,
2024-04-02,BUY,247.57,86.44,-7.30%,"-1,562.18"
2024-04-16,SELL,247.57,80.13,,
2024-05-14,BUY,273.31,89.90,+0.55%,+133.92
2024-08-06,SELL,273.31,90.39,,
2024-08-27,BUY,0.25,99.43,-2.51%,-0.62
2024-09-10,SELL,0.25,96.93,,
2024-09-17,BUY,0.08,98.84,-1.42%,-0.11
2024-11-05,SELL,0.08,97.44,,
2025-06-03,BUY,0.32,117.61,+222.17%,+84.06
2026-03-10,SELL,0.32,378.90,,
2026-04-07,BUY,0.00,449.75,+68.45%,+0.01
2026-05-05,SELL,0.00,757.61,,

"=== CRNX (P&L: $+1,677.33) ==="
date,side,qty,price,return%,pnl$
2026-07-07,BUY,2643.44,83.58,+0.13%,+290.78
2026-07-14,SELL,2643.44,83.69,,
2026-08-05,BUY,3697.48,83.88,+0.45%,"+1,386.55"
2026-08-11,SELL,3697.48,84.25,,

=== AAOI (P&L: $+955.24) ===
date,side,qty,price,return%,pnl$
2026-05-05,BUY,860.58,177.09,+0.63%,+955.24
2026-05-12,SELL,860.58,178.20,,

=== CORT (P&L: $+0.00) ===
date,side,qty,price,return%,pnl$
2026-07-21,BUY,2015.92,93.77,,

=== HNGE (P&L: $+0.00) ===
date,side,qty,price,return%,pnl$
2026-08-05,BUY,4077.39,76.06,,

=== DNTH (P&L: $-168.96) ===
date,side,qty,price,return%,pnl$
2026-08-05,BUY,2816.00,110.13,-0.05%,-168.96
2026-08-07,SELL,2816.00,110.07,,

=== INTC (P&L: $-179.27) ===
date,side,qty,price,return%,pnl$
2023-07-11,BUY,443.99,32.16,+1.62%,+230.87
2023-08-22,SELL,443.99,32.68,,
2023-09-12,BUY,411.88,38.09,-12.89%,"-2,022.32"
2023-10-24,SELL,411.88,33.18,,
2023-11-07,BUY,354.62,37.70,+12.07%,"+1,613.51"
2024-02-06,SELL,354.62,42.25,,
2025-07-15,BUY,0.00,23.58,-12.28%,-0.00
2025-07-29,SELL,0.00,20.68,,
2025-08-19,BUY,0.00,24.97,+37.24%,+0.01
2025-11-18,SELL,0.00,34.27,,
2025-12-09,BUY,1.10,40.76,-10.84%,-4.84
2025-12-23,SELL,1.10,36.34,,
2026-01-06,BUY,1.00,39.86,+8.78%,+3.49
2026-03-03,SELL,1.00,43.36,,
2026-04-07,BUY,0.00,51.84,+93.89%,+0.01
2026-05-05,SELL,0.00,100.50,,

=== DD (P&L: $-877.13) ===
date,side,qty,price,return%,pnl$
2023-07-11,BUY,511.96,27.89,+6.53%,+931.77
2023-09-12,SELL,511.96,29.71,,
2023-10-17,BUY,0.22,29.67,-2.66%,-0.18
2023-10-24,SELL,0.22,28.88,,
2023-12-12,BUY,0.00,28.35,+7.05%,+0.00
2024-01-09,SELL,0.00,30.35,,
2024-01-23,BUY,0.00,29.65,-14.94%,-0.00
2024-01-30,SELL,0.00,25.22,,
2024-03-26,BUY,0.56,30.45,-3.15%,-0.54
2024-04-30,SELL,0.56,29.49,,
2024-05-07,BUY,0.85,31.63,+0.92%,+0.25
2024-07-09,SELL,0.85,31.92,,
2024-07-23,BUY,2231.19,32.18,+0.12%,+89.25
2024-08-20,SELL,2231.19,32.22,,
2024-08-27,BUY,0.75,32.88,+4.44%,+1.09
2024-11-05,SELL,0.75,34.34,,
2025-08-26,BUY,0.00,31.52,+6.25%,+0.00
2025-10-07,SELL,0.00,33.49,,
