date,equity,positions
2022-07-14,263445.43,25
2022-07-15,267977.96,25
2022-07-18,265390.77,25
2022-07-19,271818.87,25
2022-07-20,276518.02,25
2022-07-21,276590.4,25
2022-07-22,275201.73,25
2022-07-25,282182.24,25
2022-07-26,281573.89,25
2022-07-27,290297.45,25
2022-07-28,293227.54,25
2022-07-29,297690.16,25
2022-08-01,297364.43,25
2022-08-02,298075.89,25
2022-08-03,313136.77,25
2022-08-04,321084.0,25
2022-08-05,333890.03,25
2022-08-08,337918.83,25
2022-08-09,341747.77,25
2022-08-10,353350.64,25
2022-08-11,355772.88,25
2022-08-12,363784.71,25
2022-08-15,368277.37,25
2022-08-16,364148.21,25
2022-08-17,361992.55,25
2022-08-18,368702.42,25
2022-08-19,371204.14,25
2022-08-22,371982.43,25
2022-08-23,376609.3,25
2022-08-24,384129.99,25
2022-08-25,388356.06,25
2022-08-26,384115.05,25
2022-08-29,382413.3,25
2022-08-30,371566.22,25
2022-08-31,377718.29,25
2022-09-01,374380.17,25
2022-09-02,378103.83,25
2022-09-06,373911.12,25
2022-09-07,378143.23,25
2022-09-08,378502.41,25
2022-09-09,384864.44,25
2022-09-12,390989.68,25
2022-09-13,385202.04,25
2022-09-14,397183.51,25
2022-09-15,389668.31,25
2022-09-16,380955.38,25
2022-09-19,385368.08,25
2022-09-20,383308.09,25
2022-09-21,378817.58,25
2022-09-22,375255.69,25
2022-09-23,362583.11,25
2022-09-26,357404.63,25
2022-09-27,362407.8,25
2022-09-28,379794.74,25
2022-09-29,375231.81,25
2022-09-30,378982.96,25
2022-10-03,387986.0,25
2022-10-04,396833.2,25
2022-10-05,399162.43,25
2022-10-06,402249.06,25
2022-10-07,399025.64,25
2022-10-10,393807.29,25
2022-10-11,393206.15,25
2022-10-12,394448.41,25
2022-10-13,407370.28,25
2022-10-14,406327.74,25
2022-10-17,414785.23,25
2022-10-18,424586.94,25
2022-10-19,425935.62,25
2022-10-20,431386.69,25
2022-10-21,444247.68,25
2022-10-24,451190.79,25
2022-10-25,460762.46,25
2022-10-26,473279.42,25
2022-10-27,481083.29,25
2022-10-28,487920.23,25
2022-10-31,490250.5,25
2022-11-01,502520.86,25
2022-11-02,489712.29,25
2022-11-03,506564.87,25
2022-11-04,512399.92,25
2022-11-07,516028.08,25
2022-11-08,522092.72,25
2022-11-09,509506.07,25
2022-11-10,529692.6,25
2022-11-11,533294.89,25
2022-11-14,532090.61,25
2022-11-15,540609.76,25
2022-11-16,532005.88,25
2022-11-17,533112.0,25
2022-11-18,541025.92,25
2022-11-21,533001.38,25
2022-11-22,544582.04,25
2022-11-23,545382.24,25
2022-11-25,554038.55,25
2022-11-28,543977.82,25
2022-11-29,543238.39,25
2022-11-30,556646.78,25
2022-12-01,555780.9,25
2022-12-02,566205.28,25
2022-12-05,550906.14,25
2022-12-06,537704.67,25
2022-12-07,541908.42,25
2022-12-08,549833.79,25
2022-12-09,543588.5,25
2022-12-12,555617.09,25
2022-12-13,564795.75,25
2022-12-14,561067.47,25
2022-12-15,555046.39,25
2022-12-16,555159.24,25
2022-12-19,546949.98,25
2022-12-20,552102.48,25
2022-12-21,567689.08,25
2022-12-22,561812.44,25
2022-12-23,565140.18,25
2022-12-27,564957.05,25
2022-12-28,556256.86,25
2022-12-29,570136.09,25
2022-12-30,562998.32,25
2023-01-03,548680.25,25
2023-01-04,550246.15,25
2023-01-05,553046.72,25
2023-01-06,574267.73,25
2023-01-09,579717.45,25
2023-01-10,592765.5,25
2023-01-11,595636.52,25
2023-01-12,609136.77,25
2023-01-13,618013.13,25
2023-01-17,620484.18,25
2023-01-18,605373.27,25
2023-01-19,601439.22,25
2023-01-20,615358.69,25
2023-01-23,628856.3,25
2023-01-24,632430.61,25
2023-01-25,637644.45,25
2023-01-26,633484.29,25
2023-01-27,639870.0,25
2023-01-30,621648.56,25
2023-01-31,639304.03,25
2023-02-01,654318.71,25
2023-02-02,672507.5,25
2023-02-03,676398.88,25
2023-02-06,673750.86,25
2023-02-07,686390.03,25
2023-02-08,691467.59,25
2023-02-09,697102.32,25
2023-02-10,703976.4,25
2023-02-13,712478.39,25
2023-02-14,724177.08,25
2023-02-15,732453.26,25
2023-02-16,733063.51,25
2023-02-17,732314.99,25
2023-02-21,711083.97,25
2023-02-22,700240.81,25
2023-02-23,721711.21,25
2023-02-24,710747.71,25
2023-02-27,713232.48,25
2023-02-28,719542.92,25
2023-03-01,741690.27,25
2023-03-02,739209.98,25
2023-03-03,750564.74,25
2023-03-06,742711.18,25
2023-03-07,756110.91,25
2023-03-08,761513.38,25
2023-03-09,735450.67,25
2023-03-10,718002.65,25
2023-03-13,709762.95,25
2023-03-14,730873.35,25
2023-03-15,717775.38,25
2023-03-16,735454.72,25
2023-03-17,720877.69,25
2023-03-20,730507.09,25
2023-03-21,748443.82,25
2023-03-22,737575.09,25
2023-03-23,752239.71,25
2023-03-24,751420.03,25
2023-03-27,758145.12,25
2023-03-28,759048.37,25
2023-03-29,779135.4,25
2023-03-30,779871.13,25
2023-03-31,790364.14,25
2023-04-03,797653.89,25
2023-04-04,784358.44,25
2023-04-05,773720.68,25
2023-04-06,772458.99,25
2023-04-10,785675.32,25
2023-04-11,793878.06,25
2023-04-12,794727.94,25
2023-04-13,804109.52,25
2023-04-14,807222.16,25
2023-04-17,814587.85,25
2023-04-18,830664.41,25
2023-04-19,832278.6,25
2023-04-20,839664.79,25
2023-04-21,890498.82,25
2023-04-24,853830.82,25
2023-04-25,834161.85,25
2023-04-26,829744.26,25
2023-04-27,855897.55,25
2023-04-28,874088.92,25
2023-05-01,881293.46,25
2023-05-02,875662.64,25
2023-05-03,912231.29,25
2023-05-04,931339.6,25
2023-05-05,947858.73,25
2023-05-08,952386.56,25
2023-05-09,959796.65,25
2023-05-10,970062.19,25
2023-05-11,976728.36,25
2023-05-12,1002723.55,25
2023-05-15,997529.15,25
2023-05-16,996377.92,25
2023-05-17,1019520.08,25
2023-05-18,1058071.25,25
2023-05-19,1055966.87,25
2023-05-22,1057152.18,25
2023-05-23,1049647.25,25
2023-05-24,1024529.23,25
2023-05-25,1074612.84,25
2023-05-26,1135010.54,25
2023-05-30,1128765.56,25
2023-05-31,1104721.41,25
2023-06-01,1130368.13,25
2023-06-02,1148328.25,25
2023-06-05,1149928.12,25
2023-06-06,1169363.78,25
2023-06-07,1165043.46,25
2023-06-08,1208915.02,25
2023-06-09,1197731.43,25
2023-06-12,1227783.62,25
2023-06-13,1253151.15,25
2023-06-14,1264156.95,25
2023-06-15,1288455.24,25
2023-06-16,1289682.18,25
2023-06-20,1295543.74,25
2023-06-21,1277645.79,25
2023-06-22,1277029.17,25
2023-06-23,1245880.97,25
2023-06-26,1234348.94,25
2023-06-27,1279968.1,25
2023-06-28,1307414.17,25
2023-06-29,1303959.82,25
2023-06-30,1337645.87,25
2023-07-03,1332854.0,25
2023-07-05,1344025.26,25
2023-07-06,1318596.65,25
